# Corrections de mots DANS LES DEFINITIONS, relevees a l'oeil ou par regle.
# Meme principe que vedetti.txt : une ligne par cas, le motif en regard.
# Le fac-simile garde la graphie de l'original ; c'est ici qu'on la redresse.
# La substitution ne porte que sur le mot entier, casse comprise.
# ancien	nouveau	motif
oijekti	objekti	b lu comme i : « objekto » est vedette, « oijekto » n'existe pas
segunmezuro	segunmezura	p395 muzikar : adjektivo, do finalo -a
# --- Sous-numerotations : le « 1 » lu comme un « l » minuscule.
kolo : l. Ornivo	kolo : 1. Ornivo	p292 koliaro : sous-enumeration
Prepoziciono : l. Indikas	Prepoziciono : 1. Indikas	p565 sub : sous-enumeration
(tekn.) l. Instrumento	(tekn.) 1. Instrumento	p207 grapino : sous-enumeration
de l til 10 litri	de 1 til 10 litri	p074 bidono : «l» por la cifro 1
l, 000, 0002	1, 000, 0002	p071 biliono : «l» por la cifro 1
("certena	(*certena	guillemet parasite por l'asterisko di vorto ne oficala
quan on jus komencis	quan onu jus komencis	p404 nova : la autoro skribas «onu» 1342 foyi kontre «on» 9 foyi
kande agnoskas kom valida	kande onu agnoskas kom valida	p485 *quoniam : «onu» mankanta
unajo fragmento	unajo, fragmento	p612 -un- : virgulo mankanta en la enumero
ne atingesor (ulo)	ne atingesor (da ulo)	p160 evitar : la regimo esas «da», ne akuzativo
# --- Uniformisation du pronom : l'auteur ecrit « onu » 1342 fois contre 9.
quan on pleis	quan onu pleis	p149 espineto
masono : on humidigas	masono : onu humidigas	p203 gipso
to quon on volas	to quon onu volas	p247 ironio
per qua on reduktas	per qua onu reduktas	p268 kapistro
quan on destinas	quan onu destinas	p269 karburar
uzata kande on parolas	uzata kande onu parolas	p605 tu
la osto *sfenoida	la osto sfenoida	p225 hipofizo : vorto oficala, sen asterisko
qualan kande on renkontras	qualan kande onu renkontras	p382 mineralogio
senteblano	senteblan o	p061 bela : « per igar senteblan o per manifestar » — deux mots soudes
e .c	e c.	p613 verda : « di herbo, e c. » — le point de l abreviation a saute avant le c
she-atra. –	she-atra.) –	p523 sh-atra : la parenthese de tete se ferme sur la prononciation, avant le domaine. La chaine cherchee porte le tiret qui suit, pour ne pas se retrouver dans son propre resultat : la couche passe deux fois, et « she-atra.) » y gagnait une seconde fermante — « (pronuncar : she-atra.) - (fonetiko). »
Kom ex.;	Kom ex.: L. que en neque;	p137 enklitiko : l exemple latin avait ete pris pour le nom scientifique de l article et retire du texte
hatti-i-oheriff	hatti-i-cheriff	p243 irade : le c lu comme o — la confusion la plus frequente du tapuscrit. Verifie sur l original. Le mot entier est donne car la couche exclut le trait d union de ses frontieres.
# --- « e c. », l abreviation de « e cetere », que la dactylo soude en « ec »
ec.	e c.	celebrar, fronto, kromatoforo, kotleto, termometro : « e c. » est ecrit 788 fois dans le livre, « ec » n est pas un mot de l ido
ec	e c.	fricionar, kripla, quadrilo, submersar : meme cas, sans le point
pordo., ec	pordo, e c.	p308 kornico : « moblo, pordo., ec » — le point de « pordo » est une scorie de frappe, au milieu d une enumeration
e c.p	e c.	p006 adequata : « (aludante penso, cienco, e c.p » — la parenthese fermante frappee a cote
ie..)	ie...)	p110 diftongo : « (kom ex. : au, eu, ie.. ) » — l ellipse de l auteur, ecourtee d un point ; le livre en porte cinquante-cinq
venenifanta..	venenifanta.	p537 skorpiono : point double colle, la ou les neuf autres sont separes d une espace
dop la ster) numo	dop la sternumo	p581 timuso : « situita dop la sternumo, an la parto infra di la kolo » — le thymus est derriere le sternum. La parenthese fermante est celle qui separait l article de « tino », frappe sur la meme ligne.
# --- Le trait vertical : I lu pour T en tete de phrase, pour l au milieu
Io quo	To quo	p177 fragmento e p179 fresko : « Io quo restas de libro », « Io quo esas piktita ». Le livre ecrit « to quo » 106 fois et « To quo » 73, jamais « lo quo » — et l ido dit « to quo ». Les deux sont en tete de sens, ou la majuscule est attendue : le T y a perdu sa barre
pri Io	pri lo	p011 agregar : « la konkurso pri Io ». Le mot ouvre une ligne du tapuscrit, au milieu d une phrase : le signe est un l minuscule, meme trait vertical que le I. Le livre ecrit « pri lo » 14 fois
nyf	ny'	p580 tildo : « pronuncigar lu "nyf" ». Le troisieme signe entre les guillemets est l apostrophe, non un f — « nyf » n est pas un mot de la langue. Le livre glose ses prononciations par une graphie ido entre guillemets (« ta c esas pronuncenda quale s », cedilio p081 ; « la F. eau qua pronuncesas o », triftongo p594) et marque d une apostrophe finale la forme etrangere ecourtee : « pr. Dekart' » (karteziana p268), « pron. Konyak' » (konyako p304). L apostrophe droite est celle de tout le livre.
# --- Le 1 et le 0 frappes « l » et « O » : la machine n avait pas les deux
# touches. La chaine convertit ce qui est sans ambiguite (l colle a un chiffre,
# « lOO », « (l) ») ; ce qui suit demandait la phrase pour trancher, le O
# pouvant etre l oxygene ou le nom d un point — « De punto fixa O » (hodografo).
cifri (l e O)	cifri (1 e 0)	p065 binara : « expresas omna nombri per du cifri (l e O) ». La phrase les annonce elle-meme : DU chiffres, et ceux du systeme binaire sont 1 et 0
l o 2 dekalitri	1 o 2 dekalitri	p078 bushelo : un ou deux decalitres. La meme phrase porte « cirkume l3 litri », que la chaine a deja rendu « 13 litri »
sublevar l kilogramo ad l metro	sublevar 1 kilogramo ad 1 metro	p276 kilogrametro : le kilogrammetre est le travail qui souleve UN kilogramme de UN metre, et la definition ne dit rien d autre
2 plus 3, o l plus 4	2 plus 3, o 1 plus 4	p276 kin : cinq, c est 2 plus 3 ou 1 plus 4
amino-l-naftolo-2	amino-1-naftolo-2	p227 ikonogeno : l eikonogene est le sel de sodium de l acide amino-1-naftol-2-sulfonique-6 ; les positions voisines sont ecrites -2 et -6, chiffres
# --- Le mot coupe par la marge droite : la dactylo n a frappe que sa premiere
# lettre, un « l », et la suite est perdue. Les deux cas du livre.
obliqua ye l plaso propra	obliqua ye lua plaso propra	p499 ripar : le mot finit la ligne du tapuscrit, « ...obliqua ye l », et la suite manque. « propra » veut un possesseur ; le possesseur — la roue — n est pas le sujet de la proposition, donc l ido demande « lua » et non « sua », que le l exclurait de toute facon. La meme ligne portait « di automobi », rendu « di automobilo » a la relecture
de l de silkajo	de lanajo, de silkajo	p523 shalo : meme coupure, « ...Granda peco de l » en fin de ligne. Le livre donne lui-meme le mot, et en premier exemple du suffixe -ajo p012 : « ex. : lanajo, kotonajo, bonajo, bitrajo ». « lanajo » et « silkajo » vont de pair, et l enumeration reprend la virgule de « de silkajo, e c. »
kontingenti genti	kontingenti	p301 kontingento : « ( filoz.) la kontin genti : to quo povas eventar ». Le tapuscrit coupe « kontingenti » par la marge droite, « kontin » finissant une ligne et « genti » ouvrant la suivante. La fiche lexicale 225 a rendu le mot entier a la place de « kontin » et laisse « genti » derriere lui.
weranto'	weranto	p025 ampla : « mantelo qua fitas tre laxe olua *weranto' ; ». L apostrophe y precede immediatement le point-virgule — deux signes de ponctuation colles — et c est la seule apostrophe finale que le livre porte sur un mot ido ordinaire, les six autres etant des noms etrangers ecourtes (Dekart', Konyak') ou des primes d algebre (AA', BB', OM'). Scorie de frappe. La RACINE reste « weranto », confirmee par GPhMorin : le livre ecrit « weras » vingt-six fois contre une seule « weranto », celle-ci, mais l hapax s explique par la syntaxe — « olua » est un determinant possessif et demande un nom, et c est le seul endroit du livre ou il faille le nom d agent, le porteur du manteau, plutot que le verbe.
viburnum.tinus	viburnum tinus	p582 tinlauro : « Arboreto ek la genero « viburni ». L. viburnum.tinus ». Le point y separe les deux mots du binome — Viburnum tinus, le laurier-tin —, la ou il ne devrait rien y avoir qu une espace. Ce n est pas un point manquant d espace mais un point de trop.
homo. : ascaris	homo	p044 askarido : reste du nom scientifique que la regle d extraction n a pas pu prendre en entier, le deux-points l arretant. Le nom complet est porte par travail/latinaji.txt ; la phrase se ferme sur « precipue di la homo ».
On plulongigas	Onu plulongigas	p464 prolongar : le huitieme et dernier « on » du livre, et le seul en CAPITALE — ce qui explique qu il ait survecu aux sept lignes ci-dessus, toutes ecrites sur la forme minuscule. Le point qui le precede etait colle au guillemet fermant, « ... nomo "prolonguro".On plulongigas », et la phrase se lisait d un seul tenant. Ne restent alors que le « on(u) » de la vedette p405, ou l auteur donne les deux formes, et le « on » de tildo p580, qui est le son nasal francais entre guillemets.
Superiori di monakeyo	Superioro di monakeyo	p001 abado : l abbe est UN homme, et la definition le dit d un bout a l autre — « por ilta qua havis la ofico », au singulier. Le livre porte deux fois la meme construction, mot pour mot, et les deux au singulier : « Superioro di monakeyo unesma-klasa » chez arkimandrito p046, « Superioro di kuvento, di monakeyo » chez prioro p461. Ce « Superiori » est le seul du livre ; le o et le i sont voisins au clavier.
divenar certena ke	divenar *certena ke	p630 *identifikar : le mot porte la croix du non-officiel partout ailleurs — sept occurrences sur huit dans tout le livre, dont six ou le tapuscrit ecrit « +certena » noir sur blanc : konfirmar p294 deux fois, konstatar p300, revuar p497, riskar p499, *si p526. Celle-ci est la seule nue. L auteur se sert de la marque sur cette page meme : « frendo. - Kun-partoprenanto di +muvmento », six lignes plus haut. C est un oubli, non un usage.
sur skrino fluorecanta	sur *skrino fluorecanta	p480 radioskopar : « skrino » porte la croix trois fois sur quatre — cinemo p091, projektar p463, skreno p537 —, et l article « skreno » la donne lui-meme comme la variante non officielle : « (pri cinemo e tel. : *skrino) ». La vedette du livre est « skreno » ; « skrino » n en est pas une.
sur la funikulo	sur la *funikulo	p217 hilo : « funikulo » n est vedette nulle part dans le livre, sous aucune graphie, et l autre endroit ou l auteur le cite porte la croix — « Influro di la *funikulo » chez karunklo p269. Ici le mot est coupe par la fin de ligne, « sur la fu- » puis « nikulo » : la marque avait toute chance de tomber dans la coupure.
igar olca rekonocebla	igar olca *rekonocebla	p237 insigno : la racine elle-meme est non officielle — « *rekonocar » est vedette des listes finales, p631 —, et un derive d une racine non officielle l est aussi. L auteur marque d ailleurs le meme mot chez marko p357 : « por igar lu +rekonocebla ».
machino	mashino	p228 -il- : « Sufixo qua signifikas "instrumento por..." (ne "machino por...") ». Le livre ecrit « mashino » 54 fois dans ses definitions contre cette seule « machino », et « mashino » est vedette du dictionnaire — avec « mashinacar » — la ou « machino » ne l est nulle part, sous aucune graphie. Aucune passe automatique ne pouvait l atteindre : c/s ne figure pas dans PAIRS (tools/pairs.py), la liste des sosies relevee par les relecteurs, ou c va avec o, e, k et s avec z, 8, x — les deux lettres ne se ressemblent pas, et clean.py exige justement un echange de sosies. La ligne a ete rendue en entier par la relecture directe (exceptions_proofreading.txt, p235 l28) : le tapuscrit porte bien « machino ». C est une scorie de frappe, le francais « machine » sous les doigts, et le fac-simile la garde.
